Student_ID,Age,Gender,Education_Level,Daily_Social_Media_Hours,Daily_AI_Tool_Usage_Hours,Sleep_Hours,Physical_Activity_Hours,Mental_Health_Score,Physical_Health_Score
STU_00116,20,Male,College,6.88,0,5.34,0.36,61.45,80.42
STU_00117,20,Female,College,5.98,1.24,6.66,1.45,73.81,97.55
STU_00118,23,Male,University,8.19,4.57,6.6,0,61.72,85.77
STU_00119,15,Male,High School,6.32,2.32,4.37,0.11,88.6,70.8
STU_00120,13,Male,High School,3.97,5.11,9,0,61.41,97.64
STU_00121,20,Male,College,3.99,3.53,7.1,1.01,79.81,74.13
STU_00122,15,Female,High School,7.09,4.42,5.92,0,70.83,98.37
STU_00123,15,Female,High School,2.58,2.06,6.8,1.2,73.96,83.69
STU_00124,13,Female,High School,2.24,0,5.1,2.02,78.85,73.26
STU_00125,23,Male,University,5.05,0.67,5.88,1.62,81.35,94.34
STU_00126,17,Male,High School,0.76,4.71,5.64,3.3,73.54,97.88
STU_00127,22,Male,University,5.37,2.82,5.57,1.55,72.53,88.59
STU_00128,19,Female,College,5.67,0.03,7.38,0.85,69.62,81.46
STU_00129,22,Female,University,3.88,3.67,5.59,3.05,71.24,97.61
STU_00130,21,Female,College,8.02,0,6.76,0.98,76.22,80.6
STU_00131,24,Female,University,7.32,3.33,6.79,0.54,70.81,78.89
STU_00132,19,Female,College,2.55,2.03,7.18,0.78,67.58,88.11
STU_00133,21,Female,College,6.14,3.74,8.59,2.85,82.2,97.61
STU_00134,20,Female,College,6.96,2.02,6.6,0.62,67.15,97.93
STU_00135,24,Male,University,4.71,3.81,8.15,1,64.14,93.42
STU_00136,14,Male,High School,3.42,0,9.23,1.93,77.76,97.14
STU_00137,13,Female,High School,1.73,3.1,6.77,0.83,82.56,82.66
STU_00138,19,Female,College,3.1,1.7,10.47,1.29,88.22,83.6
STU_00139,19,Non-binary,College,1.78,3.17,8.47,0.69,83.43,92.85
STU_00140,20,Male,College,6.78,1.95,5.06,0.94,81.14,85.23
STU_00141,17,Male,High School,3.86,0.89,8.34,1.23,84.15,92.26
STU_00142,15,Non-binary,High School,5.8,2.31,5.61,0.7,81.37,69.17
STU_00143,24,Female,University,7.65,4.73,6.51,1.97,73.54,75.27
STU_00144,20,Male,College,5.03,1.41,7.95,2.12,64.8,96.8
STU_00145,18,Female,College,7.44,2.86,7.14,3.28,81.19,98.82
STU_00146,23,Male,University,3.62,1.29,6.07,0,73.83,97.13
STU_00147,15,Male,High School,5.47,0,5.67,0.21,72.66,79.81
STU_00148,13,Female,High School,5.01,2.64,5.21,1.27,54.48,91.78
STU_00149,15,Female,High School,2.75,9.5,8.03,1.63,76.71,98.77
STU_00150,17,Male,High School,3.73,0.09,8.02,2.88,61.28,97.03
STU_00151,15,Male,High School,8.04,4.23,7.36,0,64.84,81.67
STU_00152,13,Female,High School,3.64,0,4.85,2.48,74.45,91.58
STU_00153,17,Male,High School,0.34,2.4,8.13,0.67,70.1,98.52
STU_00154,22,Female,University,3.63,0,6.17,0,75.3,96.94
STU_00155,19,Female,College,2.62,3.28,5.44,1.54,87.94,85.82
STU_00156,19,Male,College,5.64,1.51,4.91,0.95,76.06,81.32
STU_00157,23,Female,University,6.04,1.44,6.54,4.27,78.9,96.96
STU_00158,21,Female,College,5.4,0.46,6.35,1.93,73.51,99.16
STU_00159,22,Male,University,3.48,0,7.61,2.17,79.93,96.08
STU_00160,22,Male,University,4.65,1.97,6.74,0.82,65.17,80.72
STU_00161,24,Male,University,3.71,1.22,7.63,0.98,66.95,85.77
STU_00162,25,Female,University,0.88,1.75,7.01,0,84.12,78.67
STU_00163,15,Female,High School,4.22,1.88,5.72,1.69,84.5,91.52
STU_00164,19,Male,College,11.09,0.99,6.91,0,36.64,91.19
STU_00165,13,Male,High School,1.93,2.71,7.62,0.05,82.4,95.45
STU_00166,16,Male,High School,0,2.11,7.28,1.67,85.36,92.05
STU_00167,25,Female,University,8.06,3.99,5.92,0.19,58.97,73.78
STU_00168,16,Male,High School,5.62,6.78,5.47,0.11,65.03,70.9
STU_00169,17,Female,High School,5.24,2.91,7.18,0.45,71.58,74.44
STU_00170,19,Male,College,3.6,4.49,7.27,1.88,79.84,92.42
STU_00171,19,Female,College,5.07,2.73,5.27,1.86,60.15,80.04
STU_00172,25,Female,University,4.63,3.34,8.42,0,80.29,87.5
STU_00173,23,Female,University,7.78,1.91,5.92,1.51,88.42,95.14
STU_00174,25,Male,University,6.79,2.32,5.77,2.01,72.01,92.39
STU_00175,16,Female,High School,6.01,1.07,7.94,3.54,80.46,98.7
STU_00176,25,Male,University,2.79,5.05,7.38,1.91,71.63,94.06
STU_00177,19,Male,College,5.07,4.24,6.97,0,82.46,98.72
STU_00178,23,Female,University,2.96,2.96,7.52,2.08,70.85,88.07
STU_00179,15,Female,High School,7.57,0.65,7.73,2.23,67.21,84.07
STU_00180,18,Male,College,2.71,2.18,5.58,2.64,69.88,84.69
STU_00181,24,Male,University,4.16,4.24,5.72,2.86,55.04,98.24
STU_00182,14,Female,High School,1.78,6.9,8.41,3.01,80.15,98.24
STU_00183,22,Female,University,3.25,2.64,5.9,1.27,85.43,74.38
STU_00184,25,Male,University,3.23,4.71,5.24,1.47,85.33,68.91
STU_00185,21,Female,College,4.12,2.81,7.08,0.32,83.8,83.76
STU_00186,17,Male,High School,2.25,4.8,6.17,0.04,68.77,94.99
STU_00187,18,Female,College,7.54,0,7.11,0,67.98,77.67
STU_00188,24,Female,University,4.03,0.95,6.61,2.3,67.77,75.57
STU_00189,24,Male,University,3.17,3.06,6.2,0.23,82.52,86.32
STU_00190,24,Female,University,6.42,0.31,5.34,1.27,62.71,77.04
STU_00191,24,Female,University,9.91,3.26,6.29,1.34,47.78,73.88
STU_00192,16,Female,High School,3.49,2.57,6.45,1.96,59.02,89.55
STU_00193,23,Female,University,3.89,0,7.12,2.91,84.32,94.16
STU_00194,22,Female,University,2.65,0,6.14,1.86,70.98,94.44
STU_00195,19,Male,College,6.16,3.1,6.79,1.23,56.87,90.78
STU_00196,24,Male,University,6.89,0.44,6.41,2.89,59.81,76.23
STU_00197,21,Male,College,4.38,1.68,6.58,0.1,68.18,84.42
STU_00198,19,Non-binary,College,3.4,3.64,7.22,1.28,82.87,96.36
STU_00199,13,Female,High School,5.83,2.35,3.9,0.79,42.39,86.07
STU_00200,13,Female,High School,6.35,1.74,5.11,1.56,59.54,68.01
STU_00201,21,Male,College,8.39,0,6.02,1.36,65.89,86.01
STU_00202,23,Female,University,3.04,5.2,6.69,0,76.73,81.72
STU_00203,21,Female,College,6.63,3.95,6.53,0,62.46,75.94
STU_00204,16,Female,High School,4.76,1.34,5.86,0.01,69.75,87.99
STU_00205,25,Male,University,0.16,0.87,7.76,1.52,86,97.77
STU_00206,21,Male,College,8.31,1.49,5.62,0,61.35,75.93
STU_00207,15,Female,High School,5.24,0.74,5.72,0,78.36,81.01
STU_00208,19,Female,College,6.02,1.97,7.09,0,84.08,79.48
STU_00209,18,Male,College,6.87,4.51,6.93,0.48,65.03,91.67
STU_00210,20,Female,College,5.99,4.32,6.97,0.04,58.99,82.45
STU_00211,23,Male,University,2.08,4.31,6.98,1.94,76.23,85.15
STU_00212,21,Female,College,6.19,0.16,6.97,1.66,79.3,84.86
STU_00213,17,Female,High School,5.74,0.64,6.99,2.89,76.21,85.91
STU_00214,13,Male,High School,0.33,4.23,8.13,2.01,87.61,90.8
STU_00215,15,Female,High School,8.67,3.31,7.66,0,51.54,87.27
STU_00216,22,Male,University,3.56,1.72,8.08,1.53,86.47,98.44
STU_00217,24,Male,University,6.99,3.78,4.38,0.94,45.14,92.73
STU_00218,20,Female,College,3.66,3.41,6.03,2.17,59.64,92.29
STU_00219,23,Male,University,3.17,0,9.08,1.93,74.35,89.79
STU_00220,18,Male,College,4.3,0,4.95,1.6,82.07,90.98
STU_00221,20,Male,College,9.8,2.48,5.26,2.26,63.14,75.52
STU_00222,21,Male,College,9.53,0,8.34,2.45,70.27,98.45
STU_00223,16,Male,High School,3.16,4.47,5.18,0.32,75.69,85.46
STU_00224,13,Male,High School,7.62,3.42,5.07,0,71.91,97.39
STU_00225,13,Female,High School,4.56,1.84,6.51,0,71.44,82.37
STU_00226,22,Male,University,9.55,0.28,4.43,1.46,76.48,98.11
STU_00227,16,Female,High School,7.38,0.81,7.33,0,80.88,79.24
STU_00228,24,Male,University,5.2,0,7.36,0.55,77.58,95.87
STU_00229,19,Male,College,4.7,5.01,7.67,1.96,76.49,85.55
STU_00230,14,Male,High School,6.02,2.85,4.4,2.62,87.65,83.69
STU_00231,15,Female,High School,5.71,2.18,7.05,0.54,59.4,67.97
STU_00232,13,Female,High School,1.74,5.8,6.63,3.41,86.91,98.64
STU_00233,17,Female,High School,5.02,0.79,4.78,0.8,78.21,74.01
STU_00234,13,Male,High School,2.87,2.14,9.23,3.32,80.11,97.2
STU_00235,20,Female,College,3.18,1.25,5.71,0,75.29,98.79
STU_00236,13,Male,High School,7.29,6.25,6.31,1.03,51.06,88.42
STU_00237,23,Male,University,5.01,1.98,6.13,0.75,68.53,80.1
STU_00238,13,Female,High School,3.36,2.83,7.41,2.21,51.02,97.25
STU_00239,14,Male,High School,1.47,5.42,6.09,0.81,73.25,99.22
STU_00240,14,Non-binary,High School,2.56,4.45,7.72,2.17,71.48,94.24
STU_00241,24,Male,University,4.35,0,8.71,1.82,88.43,97.47
STU_00242,18,Non-binary,College,8.71,1.93,6.15,2.71,73.04,90.29
STU_00243,19,Female,College,1.88,2.37,5.02,0,67.98,75.67
STU_00244,17,Female,High School,5.24,2.79,4.97,1.73,74.89,87.07
STU_00245,13,Male,High School,5.52,3.07,8.52,3.02,47.75,89.96
STU_00246,13,Male,High School,7.56,0.87,6.97,1.75,77.88,84.61
STU_00247,15,Female,High School,4.81,5.25,6.02,2.7,57.27,86.18
STU_00248,14,Male,High School,5.52,3.3,7.65,0,74.24,72.42
STU_00249,17,Female,High School,7.46,3.67,5.65,0,63.69,86.17
STU_00250,24,Non-binary,University,2.56,4.97,7.7,2.2,78.44,82.53
STU_00251,22,Male,University,6.48,3,3.94,1.9,46.43,88.4
STU_00252,18,Female,College,1.02,2.12,6.63,0,79.29,79.2
STU_00253,19,Female,College,4.66,1.85,5.61,0.86,83.28,97.31
STU_00254,16,Male,High School,3.91,2.09,5,0.81,75.52,74.17
STU_00255,19,Male,College,2.69,2.21,6.04,1.29,78.77,91.88
STU_00256,23,Male,University,6.93,0,6.26,0.63,63.65,95.42
STU_00257,20,Male,College,7.07,1.38,5.59,1,77.05,97.95
STU_00258,23,Female,University,7.17,0.53,6.96,2.72,79.71,72.81
STU_00259,13,Male,High School,5.45,0,6.8,2.02,69.78,98.14
STU_00260,18,Non-binary,College,1.42,2.78,6.4,0.78,74.98,87.53
STU_00261,20,Male,College,3.68,3.3,8.01,3.56,86.99,94.91
STU_00262,17,Female,High School,7.01,0.95,7.25,0.75,80.15,89.66
STU_00263,16,Female,High School,6.98,2,6.69,1.06,64.84,82.26
STU_00264,14,Male,High School,7.49,3.52,4.55,0.91,76.19,70.24
STU_00265,18,Male,College,5.29,1.96,6.91,0.77,52.57,80.41
STU_00266,18,Female,College,4.05,2.25,7.42,1.06,71.29,88.98
STU_00267,23,Female,University,0,2.06,8.3,0,79.65,81.34
STU_00268,13,Male,High School,6.66,3.58,5.61,0.34,71.44,88.21
STU_00269,21,Male,College,4.25,2.47,8.08,4.08,78.24,92.97
STU_00270,24,Male,University,1.37,1.91,8.43,1.76,81.45,94.61
STU_00271,23,Male,University,6.41,1.65,8.24,0.8,72.61,95.95
STU_00272,18,Female,College,8.05,0.99,4.62,2.07,70.09,74.22
STU_00273,25,Female,University,6.67,3.57,5.67,0.43,82.22,91.1
STU_00274,15,Male,High School,6.19,3.52,4.63,1.79,70.21,82.69
STU_00275,16,Non-binary,High School,6.83,2.49,5.25,2.72,69.3,75.25
STU_00276,24,Male,University,0,4.19,5.42,1.8,70.55,96.78
STU_00277,23,Female,University,8.8,2.52,4.65,0,51.16,76.38
STU_00278,16,Male,High School,2.52,3.08,7.59,0.77,67.5,87.04
STU_00279,15,Male,High School,2.74,1.47,6.42,1.91,76.03,94.74
STU_00280,22,Male,University,3.32,4.66,5.15,1.87,69.43,98.62
STU_00281,15,Male,High School,3.61,2.79,9.09,2.1,79.23,82.92
STU_00282,15,Female,High School,8.25,3.2,6.38,0,54.68,82.61
STU_00283,16,Female,High School,5.86,2.62,5.05,1.53,85.69,87.93
STU_00284,19,Male,College,2.8,2.65,6.51,0.96,66.14,98.04
STU_00285,16,Female,High School,3.18,2.97,6.95,1.02,87.32,84.35
STU_00286,21,Male,College,10.74,0,5.53,0,61.36,78.97
STU_00287,13,Female,High School,5.38,3.26,5.73,2.17,80.96,98.29
STU_00288,20,Male,College,3.42,1.22,6.14,1.69,65.06,87.02
STU_00289,19,Male,College,0.45,2.08,8.08,2.23,81.4,94.22
STU_00290,14,Male,High School,0.31,1.32,8.09,2.7,82.67,98.39
STU_00291,20,Female,College,1.71,4,5.63,0.34,59.83,88.44
STU_00292,13,Female,High School,4.74,1.07,4.6,2.27,78.23,93.43
STU_00293,23,Male,University,7.27,1.97,5.16,2.11,77.3,87.63
STU_00294,24,Male,University,6.04,1.33,7.97,0.75,76.2,93.58
STU_00295,21,Male,College,7.44,1.16,5.92,2.1,72.64,81.25
STU_00296,21,Female,College,5.91,1.19,6.08,0.87,82.42,90.41
STU_00297,14,Female,High School,1.44,0.26,7.84,0,67.09,91.65
STU_00298,19,Male,College,5.56,1.49,5.01,1.47,72.52,91.84
STU_00299,22,Male,University,5.67,2.85,6.59,0,52.89,91.83
STU_00300,15,Female,High School,4.2,0.86,6.33,1.13,80.7,99.59
STU_00301,19,Male,College,3.74,2.73,6.05,2.98,76.99,90.81
STU_00302,24,Male,University,4.13,3.45,5.46,1.03,55.66,91.66
STU_00303,22,Male,University,0.63,2.25,8.64,3.26,80.35,98.18
STU_00304,21,Male,College,1.17,0.36,7.48,0.86,63.41,97.78
STU_00305,16,Female,High School,10.85,0,6.46,1.2,71.26,70.96
STU_00306,24,Female,University,1.37,3.96,6.49,1.76,83.96,87.1
STU_00307,13,Male,High School,0.08,5.28,8.01,1.31,83.98,97.79
STU_00308,14,Female,High School,2.7,5.04,8,1.1,77.98,98.64
STU_00309,13,Male,High School,5.65,3.04,6.26,0,66.09,75.55
STU_00310,24,Female,University,5.9,3.06,4.98,1.67,79.91,84.11
STU_00311,17,Female,High School,1.94,2.11,7.75,2.63,81.51,97.77
STU_00312,17,Female,High School,4.74,2.08,4.68,0,64.61,67.33
STU_00313,23,Male,University,3.14,1.19,6.34,2.28,81.36,96.04
STU_00314,19,Male,College,4.98,0.98,6.88,0,64.1,81.01
STU_00315,21,Male,College,3.77,0,6.9,2.42,77.91,86.4
STU_00316,21,Female,College,2.76,3.76,9.39,0.07,84.68,97.6
STU_00317,15,Male,High School,2.88,3.49,7.24,1.49,59.37,88.5
STU_00318,15,Female,High School,0,1.82,7.92,0,81.34,77.68
STU_00319,15,Non-binary,High School,3.95,4.76,6.86,0.29,78.16,93.09
STU_00320,16,Female,High School,4.31,6.52,6.12,2.62,65.03,90.64
STU_00321,20,Female,College,0.98,0,7.92,2.13,77.3,91.85
STU_00322,18,Male,College,3.66,3.52,6.71,1.85,84.66,89.58
STU_00323,20,Male,College,3.86,2.46,5.87,1.16,74.43,79.94
STU_00324,13,Male,High School,0,5.4,8.87,1.72,66.48,99.61
STU_00325,20,Female,College,2.57,1.56,6.71,3.09,81.47,90.12
STU_00326,16,Male,High School,2.49,4.41,4.81,1.15,73.41,91.26
STU_00327,23,Female,University,4.95,3.74,3.89,1.12,57.16,68.18
STU_00328,13,Male,High School,7.61,4.58,5.25,2.22,71.1,92.5
STU_00329,20,Male,College,4.62,1.2,7.02,1.09,69.25,86.23
STU_00330,16,Female,High School,7.4,1.81,6.61,0.43,54.78,82.71
STU_00331,18,Male,College,3.94,3.45,3.97,0.88,77.69,87.58
STU_00332,20,Male,College,5.43,4.54,7.83,0.86,70.13,99.78
STU_00333,16,Female,High School,4.67,2.9,6.84,0,55.96,80.03
STU_00334,15,Male,High School,10.53,0,6.05,0,70.23,84.17
STU_00335,21,Male,College,4.12,4.63,7.4,1.13,68.37,97.48
STU_00336,15,Male,High School,6.46,4.83,6.87,1.42,79.92,83.35
STU_00337,21,Female,College,5.01,1.51,7.82,2.12,71.23,92.36
STU_00338,25,Non-binary,University,7.31,4.03,5.14,0,60.3,53.27
STU_00339,14,Female,High School,6.08,3.39,6.99,2.8,75.69,98.64
STU_00340,14,Male,High School,5.35,0.9,7.86,0,56.64,88.08
STU_00341,14,Male,High School,1.65,4.1,6.95,2.28,72.34,90.25
STU_00342,18,Male,College,1.87,2.42,6.67,1.39,79.73,98.94
STU_00343,15,Non-binary,High School,2.96,0.06,7.26,1.07,77.51,92.46
STU_00344,25,Male,University,3.77,4.12,7.28,0,80.81,91.02
STU_00345,21,Male,College,4.78,6.31,7.29,0.91,74.93,74.69
STU_00346,16,Female,High School,2.97,0,4.66,0.91,76.15,86.43
STU_00347,13,Non-binary,High School,0,3.05,7.18,2.76,83.83,92.01
STU_00348,16,Male,High School,7.07,2.98,6.41,0.11,56.59,76.87
STU_00349,13,Male,High School,5.62,0.42,6.49,0.33,82.01,80.72
STU_00350,17,Male,High School,4.65,4.35,6.49,1.63,79.43,73.94
STU_00351,16,Male,High School,7.63,0.53,6.13,0.48,63.3,77.38
STU_00352,20,Female,College,2.49,2.65,6.16,0.11,45.47,73.8
STU_00353,20,Female,College,4.17,1.15,6.28,0,82.33,91.07
STU_00354,19,Female,College,4.9,0.65,5.67,3.19,67.83,99.21
STU_00355,15,Male,High School,3.46,3.17,6.13,1.47,66.81,80.01
STU_00356,13,Male,High School,2.51,1.22,9.1,3.16,85.79,99.41
STU_00357,13,Male,High School,6.69,4.8,6.86,1.24,58,91.07
STU_00358,24,Male,University,5.21,2.54,6.08,2.23,54.21,89.97
STU_00359,23,Female,University,6.06,4.05,5.6,3.09,73.07,97.81
STU_00360,15,Male,High School,2.44,3.94,6.9,2.5,74.39,98.18
STU_00361,18,Male,College,6.57,4.64,5.31,2.9,71.94,99.34
STU_00362,19,Male,College,2.94,1.98,8.66,3.04,83.38,98.93
STU_00363,18,Male,College,5.12,2.28,7.01,0.05,77.82,94.97
STU_00364,18,Male,College,9.45,0.9,4.2,0.62,65.83,77.51
STU_00365,18,Female,College,6.63,2.75,4.5,2.52,73.01,97.41
STU_00366,25,Male,University,5.35,1.06,5.39,0.32,61.85,80.27
STU_00367,15,Female,High School,7.88,4.54,5.56,0.89,73.19,85.45
STU_00368,18,Male,College,3.08,0.85,5.06,1.21,72.35,96.5
STU_00369,20,Male,College,5.73,1.72,6.8,0.99,76.12,88.68
STU_00370,23,Female,University,2.42,3.48,6.48,1.72,75.26,98.25
STU_00371,23,Male,University,3.6,3.41,5.83,1.19,83.96,91.85
STU_00372,14,Female,High School,8.48,0.44,6.35,0.1,83.2,75.05
STU_00373,17,Male,High School,5.18,1.42,9.18,1.61,80.5,98.15
STU_00374,13,Female,High School,8.02,1.95,5.24,0.72,80.21,92.07
